District,Label
RWANDA,Rwanda
NYARUGENGE,Nyarugenge
GASABO,Gasabo
KICUKIRO,Kicukiro
NYANZA,Nyanza
GISAGARA,Gisagara
NYARUGURU,Nyaruguru
HUYE,Huye
NYAMAGABE,Nyamagabe
RUHANGO,Ruhango
MUHANGA,Muhanga
KAMONYI,Kamonyi
KARONGI,Karongi
RUTSIRO,Rutsiro
RUBAVU,Rubavu
NYABIHU,Nyabihu
NGORORERO,Ngororero
RUSIZI,Rusizi
NYAMASHEKE,Nyamasheke
RULINDO,Rulindo
GAKENKE,Gakenke
MUSANZE,Musanze
BURERA,Burera
GICUMBI,Gicumbi
RWAMAGANA,Rwamagana
NYAGATARE,Nyagatare
GATSIBO,Gatsibo
KAYONZA,Kayonza
KIREHE,Kirehe
NGOMA,Ngoma
BUGESERA,Bugesera